,latitude,longitude,county
442,41.95,-124.1,Del Norte County
443,41.96,-124.07,Del Norte County
444,41.95,-124.09,Del Norte County
445,41.94,-124.09,Del Norte County
446,41.66,-121.91,Siskiyou County
447,40.95,-123.75,Humboldt County
448,40.96,-123.74,Humboldt County
449,41.68,-121.93,Siskiyou County
450,41.63,-121.92,Siskiyou County
451,41.83,-120.18,Modoc County
452,39.79,-120.63,Plumas County
453,37.46,-120.5,Stanislaus County
454,40.94,-120.86,Trinity County
455,42.32,-122.95,Klamath County
456,42.08,-121.02,Klamath County
457,39.9,-122.38,Tehama County
458,37.59,-121.12,Stanislaus County
459,39.98,-121.57,Butte County
460,39.97,-121.58,Butte County
461,38.01,-122.12,Jackson County
462,37.29,-120.32,Merced County
463,41.14,-123.16,Humboldt County
464,39.53,-121.35,Butte County
465,37.38,-121.14,Stanislaus County
466,38.38,-122.19,Napa County
467,42.2,-121.7,Klamath County
468,38.14,-120.54,Jackson County
469,38.29,-122.48,Sonoma County
470,37.39,-120.98,Stanislaus County
471,37.34,-120.53,Merced County
472,38.24,-122.76,Sonoma County
473,39.54,-118.86,Churchill County
474,38.09,-120.82,Calaveras County
475,38.01,-121.62,Contra Costa County
476,39.21,-123.01,Lake County
477,39.2,-123.0,Lake County
478,39.3,-122.13,Colusa County
479,39.31,-121.55,Butte County
480,37.63,-120.71,Merced County
481,37.64,-120.71,San Joaquin County
482,39.27,-121.64,Sutter County
483,41.83,-121.37,Modoc County
484,38.75,-122.14,Yolo County
485,38.51,-121.98,Yolo County
486,38.26,-121.52,Sacramento County
487,38.38,-121.61,Yolo County
488,38.38,-121.6,Yolo County
489,38.1,-121.7,Sacramento County
490,39.63,-121.52,Butte County
491,38.31,-120.82,Amador County
492,39.12,-122.03,Colusa County
493,38.45,-120.7,Amador County
494,37.31,-120.7,Merced County
495,39.63,-122.01,Butte County
496,40.07,-122.15,Tehama County
497,39.13,-123.16,Mendocino County
498,40.58,-122.07,Shasta County
499,39.59,-119.44,Storey County
500,39.59,-119.45,Washoe County
501,39.49,-122.04,Glenn County
502,39.48,-122.04,Glenn County
503,42.0,-121.38,Modoc County
504,39.03,-121.96,Colusa County
